World_Soc,Arts,World_Hist_Pol_Inst,World_Lit
SOC 101,ARCH 112,HIST 101,ENGL221A
SOC 201,ART 100,HIST 102,ENGL221B
ANTH 200,ART 101,HIST 250,ENGL 223
COMM 110,ART 102,HIST 110,ENGL 224
GEOG 102,ART 103,HIST 120,ENGL 225
HIST 120,ART 104,HIST 204,ENGL 226
HIST 204,ART 105A,WGS 204,ENGL 236
WGS 204,ART 105B,HIST 210,ENGL 237
HIST 210,ART 106,HIST 220,ENGL 238
HUM 100,ART 107,HIST 221,ENGL 246A
PHIL 104,ENGL 228,HIST 230,ENGL 246B
PHIL 200,ENGL 235,HIST 235,ENGL 248A
ANTH 100,MUS 101,HIST 241,ENGL 248B
ANTH 170,MUS 102,HIST 242,
SOC 215,DANC 101,HIST 245,
SPAN 210,DANC 109,HIST 246,
WGS 102,TH 102,HIST 103,
,TH 103,HIST 255,
,FILM 159,HIST 260,
,,HIST 265,
,,JOUR 100,
,,POL 101,
,,POL 201,
,,POL 210,
,,POL 220,
,,POL 230,
