Core,Lit_Lang
ANTH 170,ANTH 100
ENGL 110,ART 108
ENGL 106,HUM 108
,ENGL 221A
,ENGL 221B
,ENGL 223
,ENGL 224
,ENGL 225
,ENGL 227
,ENGL 228
,ENGL 230A
,ENGL 230B
,ENGL 232
,ENGL 233
,ENGL 234
,ENGL 235
,ENGL 240
,ENGL 241
,FILM 241
,ENGL 246A
,ENGL 246B
,ENGL 248A
,ENGL 248B
,ASL 110
,ASL 111
,ASL 210
,ASL 211
,ASL 220
,CHIN 101
,CHIN 102
,CHIN 103
,CHIN 201
,CHIN 202
,CHIN 260
,FREN 101
,FREN 102
,FREN 201
,FREN 202
,FREN 203
,FREN 281
,FREN 282
,FREN 283
,FREN 285
,GERM 101
,GERM 102
,GERM 201
,GERM 202
,GERM 203
,GERM 204
,GERM 281
,GERM 282
,GERM 291
,GERM 292
,JAPN 101
,JAPN 102
,JAPN 201
,JAPN 202
,JAPN 281
,JAPN 282
,JAPN 283
,SPAN 101
,SPAN 102
,SPAN 111
,SPAN 112
,SPAN 201
,SPAN 202
,SPAN 281
,SPAN 282
,SPAN 283
,SPAN 285
,ART 109
,HUM 109
,SPAN 210
,SPAN 245
,COMM 148
,FILM 159
